"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta[1]",0.0977936895096767,2.23034647993355e-05,0.00215601420073811,0.0919530965406874,0.0969139614468351,0.0984371861604733,0.0993664583973632,0.0999442551985219,9344.5536955325,0.999708557416513
"theta[2]",0.0035124051099151,3.38365892576274e-05,0.00339848535061984,0.000196146845505097,0.00111629675445366,0.00246012915639145,0.00480826971347468,0.0128646900755714,10087.8274565855,1.00061404507654
"theta[3]",0.000970493760881514,8.67739923484226e-06,0.000872593436785487,0.000121664936099989,0.0003553488660382,0.000701457020205302,0.00129603223404044,0.00330367614930389,10112.1784696454,0.999788515754325
"theta[4]",0.185524544963472,0.00028331820674037,0.0281405636642361,0.135510516092051,0.165871962983871,0.183731798584292,0.203413528974045,0.246344977811465,9865.44355093716,0.999823229471018
"theta[5]",0.00724387938049469,2.87089273727182e-05,0.0028158890710836,0.00182421943631913,0.00530408732068661,0.00719614546086062,0.00913284523986298,0.0128740227403119,9620.4890859487,1.0003086367919
"theta[6]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.00120072043222,0.999599919967984
"theta[7]",0.15,0,0,0.15,0.15,0.15,0.15,0.15,2.00120072043222,0.999599919967984
"theta[8]",0.697099057804857,0.000774660786580267,0.077263066373441,0.546258433082661,0.645473829621007,0.696435611671192,0.748459983778465,0.846481808146121,9947.65547063422,1.00014016554873
"theta[9]",1,NA,0,1,1,1,1,1,NA,NA
"theta[10]",50.9144852789928,0.00932763482450612,0.912896103148639,50.0246519159587,50.2683466123839,50.6357535023604,51.2631817975391,53.4145931461862,9578.54703309671,1.00009029144113
"R_0",5.06519377195114,0.054764159900764,5.4831137625561,0.432291341901741,1.55743038217517,3.09690699309715,6.39336405389159,21.2042530766098,10024.4753804331,0.999734558567708
"y_init[1]",934,NA,0,934,934,934,934,934,NA,NA
"y_init[2]",65,NA,0,65,65,65,65,65,NA,NA
"y_init[3]",1,NA,0,1,1,1,1,1,NA,NA
"y_init[4]",29914.4852789928,9.32763482450616,912.896103148639,29024.6519159587,29268.3466123839,29635.7535023604,30263.1817975391,32414.5931461862,9578.54703309664,1.00009029144113
"y_init[5]",1000,NA,0,1000,1000,1000,1000,1000,NA,NA
"y_init[6]",20000,NA,0,20000,20000,20000,20000,20000,NA,NA
"y_init[7]",1,NA,0,1,1,1,1,1,NA,NA
